record_id,csv_category,engine_category,csv_action_code,engine_action_code,csv_do_not_boil,engine_do_not_boil,csv_is_potable,engine_severity,primary_contaminant,ph,turbidity_ntu,tds_mg_L,total_hardness_mg_L,chloride_mg_L,fluoride_mg_L,arsenic_ug_L,arsenic_mg_L,iron_mg_L,uranium_ug_L,uranium_mg_L,nitrate_mg_L,fecal_coliform_MPN_100mL,state_ut,district,category_match,action_match,do_not_boil_match,anti_boil_violation
IWQ-00011,CRITICAL_CHEMICAL_TOXIN,CRITICAL_CHEMICAL_TOXIN,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,True,True,False,CRITICAL,Nitrate,7.41,0.99,142.8,83.7,33.5,0.597,0.58,0.00058,0.001,4.2,0.0042,65.87,0.0,Andaman and Nicobar Islands,Nicobar,True,True,True,False
IWQ-00012,POTABLE_SAFE,POTABLE_SAFE,SAFE_TO_DRINK,SAFE_TO_DRINK,False,False,True,SAFE,,7.62,0.38,317.2,134.7,60.3,0.34,0.34,0.00034,0.232,1.37,0.00137,2.3,0.0,Andaman and Nicobar Islands,South Andaman,True,True,True,False
IWQ-00013,POTABLE_SAFE,POTABLE_SAFE,SAFE_TO_DRINK,SAFE_TO_DRINK,False,False,True,SAFE,,7.22,1.84,251.4,75.8,26.4,0.314,0.42,0.00042,0.09,0.65,0.00065,4.46,0.0,Andaman and Nicobar Islands,North and Middle Andaman,True,True,True,False
IWQ-00014,MODERATE_PHYSICAL_PARAM,MODERATE_PHYSICAL_PARAM,FILTRATION_TREATMENT_RECOMMENDED,FILTRATION_TREATMENT_RECOMMENDED,False,False,False,MODERATE,Turbidity,7.71,5.89,1331.7,684.5,312.9,0.927,2.23,0.00223,0.866,6.85,0.00685,7.98,0.0,Andaman and Nicobar Islands,Nicobar,True,True,True,False
IWQ-00015,UNSAFE_BIOLOGICAL_PATHOGEN,UNSAFE_BIOLOGICAL_PATHOGEN,BOIL_OR_CHLORINATE_REQUIRED,BOIL_OR_CHLORINATE_REQUIRED,False,False,False,CRITICAL,E. coli / Thermotolerant Coliform Indicator,6.98,107.7,227.3,95.6,43.5,0.186,0.38,0.00038,0.209,2.92,0.00292,2.33,2111.2,Andaman and Nicobar Islands,Nicobar,True,True,True,False
IWQ-00016,POTABLE_SAFE,POTABLE_SAFE,SAFE_TO_DRINK,SAFE_TO_DRINK,False,False,True,SAFE,,7.44,2.41,671.0,254.5,142.3,0.108,0.47,0.00047,0.097,1.49,0.00149,1.62,0.0,Andaman and Nicobar Islands,South Andaman,True,True,True,False
IWQ-00017,CRITICAL_CHEMICAL_TOXIN,CRITICAL_CHEMICAL_TOXIN,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,True,True,False,CRITICAL,Fluoride,7.08,1.63,367.5,127.0,73.0,1.868,1.12,0.00112,0.289,1.76,0.00176,3.09,0.0,Andaman and Nicobar Islands,Nicobar,True,True,True,False
IWQ-00018,POTABLE_SAFE,POTABLE_SAFE,SAFE_TO_DRINK,SAFE_TO_DRINK,False,False,True,SAFE,,7.21,0.47,293.8,119.3,28.4,0.11,1.24,0.00124,0.026,7.95,0.00795,10.33,0.0,Andaman and Nicobar Islands,North and Middle Andaman,True,True,True,False
IWQ-00019,POTABLE_SAFE,POTABLE_SAFE,SAFE_TO_DRINK,SAFE_TO_DRINK,False,False,True,SAFE,,7.4,2.56,316.6,113.0,50.7,0.568,0.14,0.00014,0.051,0.58,0.00058,13.83,0.0,Andaman and Nicobar Islands,South Andaman,True,True,True,False
IWQ-00020,POTABLE_SAFE,POTABLE_SAFE,SAFE_TO_DRINK,SAFE_TO_DRINK,False,False,True,SAFE,,7.7,0.45,150.6,56.2,30.2,0.169,0.6,0.0006,0.134,0.58,0.00058,2.76,0.0,Andaman and Nicobar Islands,South Andaman,True,True,True,False
IWQ-00021,POTABLE_SAFE,POTABLE_SAFE,SAFE_TO_DRINK,SAFE_TO_DRINK,False,False,True,SAFE,,7.06,0.36,992.6,449.9,194.3,0.933,0.68,0.00068,0.763,3.44,0.00344,38.1,0.0,Andaman and Nicobar Islands,Nicobar,True,True,True,False
IWQ-00022,POTABLE_SAFE,POTABLE_SAFE,SAFE_TO_DRINK,SAFE_TO_DRINK,False,False,True,SAFE,,7.4,4.41,359.5,198.2,65.2,0.161,0.13,0.00013,0.438,0.85,0.00085,3.14,0.0,Andaman and Nicobar Islands,North and Middle Andaman,True,True,True,False
IWQ-00023,MODERATE_PHYSICAL_PARAM,MODERATE_PHYSICAL_PARAM,FILTRATION_TREATMENT_RECOMMENDED,FILTRATION_TREATMENT_RECOMMENDED,False,False,False,MODERATE,Turbidity,8.16,6.13,633.3,138.9,64.0,0.185,0.28,0.00028,0.327,2.8,0.0028,17.4,0.0,Andaman and Nicobar Islands,North and Middle Andaman,True,True,True,False
IWQ-00024,UNSAFE_BIOLOGICAL_PATHOGEN,UNSAFE_BIOLOGICAL_PATHOGEN,BOIL_OR_CHLORINATE_REQUIRED,BOIL_OR_CHLORINATE_REQUIRED,False,False,False,CRITICAL,E. coli / Thermotolerant Coliform Indicator,7.26,92.66,351.2,116.8,45.2,0.342,2.03,0.00203,0.075,1.48,0.00148,9.88,611.3,Andaman and Nicobar Islands,South Andaman,True,True,True,False
IWQ-00025,MODERATE_PHYSICAL_PARAM,MODERATE_PHYSICAL_PARAM,FILTRATION_TREATMENT_RECOMMENDED,FILTRATION_TREATMENT_RECOMMENDED,False,False,False,MODERATE,Turbidity,6.97,8.65,165.4,50.3,30.8,0.146,2.02,0.00202,0.184,3.77,0.00377,20.95,0.0,Andaman and Nicobar Islands,South Andaman,True,True,True,False
IWQ-00026,UNSAFE_BIOLOGICAL_PATHOGEN,UNSAFE_BIOLOGICAL_PATHOGEN,BOIL_OR_CHLORINATE_REQUIRED,BOIL_OR_CHLORINATE_REQUIRED,False,False,False,CRITICAL,E. coli / Thermotolerant Coliform Indicator,6.84,8.46,1176.9,614.3,197.3,0.055,0.08,8e-05,0.101,0.1,0.0001,10.26,1053.3,Andaman and Nicobar Islands,South Andaman,True,True,True,False
IWQ-00027,UNSAFE_BIOLOGICAL_PATHOGEN,UNSAFE_BIOLOGICAL_PATHOGEN,BOIL_OR_CHLORINATE_REQUIRED,BOIL_OR_CHLORINATE_REQUIRED,False,False,False,CRITICAL,E. coli / Thermotolerant Coliform Indicator,6.65,11.36,256.4,121.4,32.7,0.176,0.31,0.00031,0.138,1.18,0.00118,2.63,0.8,Andaman and Nicobar Islands,North and Middle Andaman,True,True,True,False
IWQ-00028,UNSAFE_BIOLOGICAL_PATHOGEN,UNSAFE_BIOLOGICAL_PATHOGEN,BOIL_OR_CHLORINATE_REQUIRED,BOIL_OR_CHLORINATE_REQUIRED,False,False,False,CRITICAL,E. coli / Thermotolerant Coliform Indicator,7.58,32.56,120.2,60.2,13.1,0.561,0.1,0.0001,0.118,1.6,0.0016,25.72,648.4,Andaman and Nicobar Islands,Nicobar,True,True,True,False
IWQ-00029,POTABLE_SAFE,POTABLE_SAFE,SAFE_TO_DRINK,SAFE_TO_DRINK,False,False,True,SAFE,,8.43,0.22,140.3,71.5,42.3,0.524,0.53,0.00053,0.182,0.03,3e-05,2.71,0.0,Andaman and Nicobar Islands,South Andaman,True,True,True,False
IWQ-00030,CRITICAL_CHEMICAL_TOXIN,CRITICAL_CHEMICAL_TOXIN,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,True,True,False,CRITICAL,Arsenic,7.69,0.49,286.9,102.4,35.1,0.326,20.41,0.02041,0.297,2.21,0.00221,25.0,0.0,Andaman and Nicobar Islands,North and Middle Andaman,True,True,True,False
IWQ-00031,POTABLE_SAFE,POTABLE_SAFE,SAFE_TO_DRINK,SAFE_TO_DRINK,False,False,True,SAFE,,7.82,0.76,253.2,138.7,24.0,0.082,0.2,0.0002,0.025,10.58,0.01058,20.72,0.0,Andaman and Nicobar Islands,South Andaman,True,True,True,False
IWQ-00032,POTABLE_SAFE,POTABLE_SAFE,SAFE_TO_DRINK,SAFE_TO_DRINK,False,False,True,SAFE,,7.48,2.35,752.3,209.8,70.3,0.621,3.59,0.00359,0.021,1.89,0.00189,4.76,0.0,Andaman and Nicobar Islands,South Andaman,True,True,True,False
IWQ-00033,CRITICAL_CHEMICAL_TOXIN,CRITICAL_CHEMICAL_TOXIN,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,True,True,False,CRITICAL,Fluoride,8.0,7.72,377.0,166.6,106.2,3.036,0.6,0.0006,0.618,0.14,0.00014,13.31,0.0,Andaman and Nicobar Islands,South Andaman,True,True,True,False
IWQ-00034,UNSAFE_BIOLOGICAL_PATHOGEN,UNSAFE_BIOLOGICAL_PATHOGEN,BOIL_OR_CHLORINATE_REQUIRED,BOIL_OR_CHLORINATE_REQUIRED,False,False,False,CRITICAL,E. coli / Thermotolerant Coliform Indicator,7.15,3.34,732.4,274.8,85.5,0.289,0.44,0.00044,0.215,0.99,0.00099,9.86,36.9,Andaman and Nicobar Islands,South Andaman,True,True,True,False
IWQ-00035,UNSAFE_BIOLOGICAL_PATHOGEN,UNSAFE_BIOLOGICAL_PATHOGEN,BOIL_OR_CHLORINATE_REQUIRED,BOIL_OR_CHLORINATE_REQUIRED,False,False,False,CRITICAL,E. coli / Thermotolerant Coliform Indicator,7.82,11.84,177.3,98.1,30.6,0.077,0.68,0.00068,0.014,2.81,0.00281,6.16,13210.5,Andaman and Nicobar Islands,Nicobar,True,True,True,False
IWQ-00036,CRITICAL_MIXED_HAZARD,CRITICAL_MIXED_HAZARD,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,True,True,False,CRITICAL,Nitrate,7.42,16.48,458.2,233.1,105.8,0.154,0.28,0.00028,0.139,4.08,0.00408,94.46,808.8,Andaman and Nicobar Islands,Nicobar,True,True,True,False
IWQ-00037,CRITICAL_CHEMICAL_TOXIN,CRITICAL_CHEMICAL_TOXIN,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,True,True,False,CRITICAL,Nitrate,7.5,1.29,299.0,157.0,50.4,0.316,0.5,0.0005,0.208,0.57,0.00057,49.53,0.0,Andaman and Nicobar Islands,North and Middle Andaman,True,True,True,False
IWQ-00038,POTABLE_SAFE,POTABLE_SAFE,SAFE_TO_DRINK,SAFE_TO_DRINK,False,False,True,SAFE,,7.23,1.06,32.0,14.6,7.2,0.078,0.11,0.00011,0.017,1.05,0.00105,8.56,0.0,Andaman and Nicobar Islands,Nicobar,True,True,True,False
IWQ-00039,UNSAFE_BIOLOGICAL_PATHOGEN,UNSAFE_BIOLOGICAL_PATHOGEN,BOIL_OR_CHLORINATE_REQUIRED,BOIL_OR_CHLORINATE_REQUIRED,False,False,False,CRITICAL,E. coli / Thermotolerant Coliform Indicator,6.79,15.07,459.6,177.9,130.8,0.181,0.17,0.00017,0.048,0.13,0.00013,27.02,1547.5,Andaman and Nicobar Islands,South Andaman,True,True,True,False
IWQ-00040,POTABLE_SAFE,POTABLE_SAFE,SAFE_TO_DRINK,SAFE_TO_DRINK,False,False,True,SAFE,,7.64,0.59,574.3,426.6,123.4,0.276,0.21,0.00021,0.007,1.85,0.00185,12.4,0.0,Andaman and Nicobar Islands,South Andaman,True,True,True,False
IWQ-00041,UNSAFE_BIOLOGICAL_PATHOGEN,UNSAFE_BIOLOGICAL_PATHOGEN,BOIL_OR_CHLORINATE_REQUIRED,BOIL_OR_CHLORINATE_REQUIRED,False,False,False,CRITICAL,E. coli / Thermotolerant Coliform Indicator,7.88,60.96,364.2,191.2,61.3,0.038,0.13,0.00013,0.958,0.49,0.00049,13.62,1377.6,Andaman and Nicobar Islands,Nicobar,True,True,True,False
IWQ-00042,POTABLE_SAFE,POTABLE_SAFE,SAFE_TO_DRINK,SAFE_TO_DRINK,False,False,True,SAFE,,7.48,4.36,210.3,159.8,38.8,0.104,0.06,6e-05,0.13,4.01,0.00401,20.26,0.0,Andaman and Nicobar Islands,Nicobar,True,True,True,False
IWQ-00043,MODERATE_PHYSICAL_PARAM,MODERATE_PHYSICAL_PARAM,FILTRATION_TREATMENT_RECOMMENDED,FILTRATION_TREATMENT_RECOMMENDED,False,False,False,MODERATE,pH,6.21,3.7,161.4,72.2,36.8,0.693,0.5,0.0005,0.446,7.94,0.00794,27.33,0.0,Andaman and Nicobar Islands,North and Middle Andaman,True,True,True,False
IWQ-00044,POTABLE_SAFE,POTABLE_SAFE,SAFE_TO_DRINK,SAFE_TO_DRINK,False,False,True,SAFE,,7.04,0.26,266.0,169.9,70.7,0.108,2.18,0.00218,0.077,0.87,0.00087,5.24,0.0,Andaman and Nicobar Islands,North and Middle Andaman,True,True,True,False
IWQ-00045,UNSAFE_BIOLOGICAL_PATHOGEN,UNSAFE_BIOLOGICAL_PATHOGEN,BOIL_OR_CHLORINATE_REQUIRED,BOIL_OR_CHLORINATE_REQUIRED,False,False,False,CRITICAL,E. coli / Thermotolerant Coliform Indicator,7.23,12.3,203.5,111.3,22.8,0.103,0.05,5e-05,0.088,5.16,0.00516,42.19,1626.3,Andaman and Nicobar Islands,South Andaman,True,True,True,False
IWQ-00046,UNSAFE_BIOLOGICAL_PATHOGEN,UNSAFE_BIOLOGICAL_PATHOGEN,BOIL_OR_CHLORINATE_REQUIRED,BOIL_OR_CHLORINATE_REQUIRED,False,False,False,CRITICAL,E. coli / Thermotolerant Coliform Indicator,7.42,10.57,226.8,127.2,61.3,0.435,0.49,0.00049,0.123,1.77,0.00177,2.28,1103.8,Andaman and Nicobar Islands,Nicobar,True,True,True,False
IWQ-00047,UNSAFE_BIOLOGICAL_PATHOGEN,UNSAFE_BIOLOGICAL_PATHOGEN,BOIL_OR_CHLORINATE_REQUIRED,BOIL_OR_CHLORINATE_REQUIRED,False,False,False,CRITICAL,E. coli / Thermotolerant Coliform Indicator,8.02,16.69,259.9,86.0,27.9,0.328,0.18,0.00018,0.146,3.98,0.00398,18.39,503.3,Andaman and Nicobar Islands,North and Middle Andaman,True,True,True,False
IWQ-00048,UNSAFE_BIOLOGICAL_PATHOGEN,UNSAFE_BIOLOGICAL_PATHOGEN,BOIL_OR_CHLORINATE_REQUIRED,BOIL_OR_CHLORINATE_REQUIRED,False,False,False,CRITICAL,E. coli / Thermotolerant Coliform Indicator,7.61,1.11,477.4,184.2,61.8,0.123,0.03,3e-05,0.011,1.47,0.00147,4.9,6.6,Andaman and Nicobar Islands,Nicobar,True,True,True,False
IWQ-00049,POTABLE_SAFE,POTABLE_SAFE,SAFE_TO_DRINK,SAFE_TO_DRINK,False,False,True,SAFE,,8.34,0.38,369.7,209.9,47.0,0.425,1.54,0.00154,0.557,9.26,0.00926,38.98,0.0,Andaman and Nicobar Islands,South Andaman,True,True,True,False
IWQ-00050,UNSAFE_BIOLOGICAL_PATHOGEN,UNSAFE_BIOLOGICAL_PATHOGEN,BOIL_OR_CHLORINATE_REQUIRED,BOIL_OR_CHLORINATE_REQUIRED,False,False,False,CRITICAL,E. coli / Thermotolerant Coliform Indicator,6.7,4.47,227.5,106.8,73.9,0.542,0.22,0.00022,0.031,1.21,0.00121,1.11,26069.5,Andaman and Nicobar Islands,North and Middle Andaman,True,True,True,False
IWQ-00051,UNSAFE_BIOLOGICAL_PATHOGEN,UNSAFE_BIOLOGICAL_PATHOGEN,BOIL_OR_CHLORINATE_REQUIRED,BOIL_OR_CHLORINATE_REQUIRED,False,False,False,CRITICAL,E. coli / Thermotolerant Coliform Indicator,7.33,8.15,617.5,144.7,123.1,0.249,2.89,0.00289,0.801,6.55,0.00655,6.44,6.0,Andaman and Nicobar Islands,North and Middle Andaman,True,True,True,False
IWQ-00052,UNSAFE_BIOLOGICAL_PATHOGEN,UNSAFE_BIOLOGICAL_PATHOGEN,BOIL_OR_CHLORINATE_REQUIRED,BOIL_OR_CHLORINATE_REQUIRED,False,False,False,CRITICAL,E. coli / Thermotolerant Coliform Indicator,6.65,20.47,64.7,31.6,12.8,0.657,0.54,0.00054,0.28,4.94,0.00494,11.53,175.8,Andaman and Nicobar Islands,Nicobar,True,True,True,False
IWQ-00053,UNSAFE_BIOLOGICAL_PATHOGEN,UNSAFE_BIOLOGICAL_PATHOGEN,BOIL_OR_CHLORINATE_REQUIRED,BOIL_OR_CHLORINATE_REQUIRED,False,False,False,CRITICAL,E. coli / Thermotolerant Coliform Indicator,7.46,5.63,83.6,73.0,17.9,0.597,0.26,0.00026,0.093,3.23,0.00323,10.34,4.6,Andaman and Nicobar Islands,North and Middle Andaman,True,True,True,False
IWQ-00054,POTABLE_SAFE,POTABLE_SAFE,SAFE_TO_DRINK,SAFE_TO_DRINK,False,False,True,SAFE,,7.25,0.42,226.7,66.2,33.2,0.294,0.07,7e-05,0.111,1.01,0.00101,4.87,0.0,Andaman and Nicobar Islands,North and Middle Andaman,True,True,True,False
IWQ-00055,POTABLE_SAFE,POTABLE_SAFE,SAFE_TO_DRINK,SAFE_TO_DRINK,False,False,True,SAFE,,7.02,0.65,503.1,269.9,98.1,0.428,0.29,0.00029,0.074,2.72,0.00272,4.59,0.0,Andaman and Nicobar Islands,South Andaman,True,True,True,False
IWQ-00056,UNSAFE_BIOLOGICAL_PATHOGEN,UNSAFE_BIOLOGICAL_PATHOGEN,BOIL_OR_CHLORINATE_REQUIRED,BOIL_OR_CHLORINATE_REQUIRED,False,False,False,CRITICAL,E. coli / Thermotolerant Coliform Indicator,7.48,22.39,201.5,125.9,35.6,0.064,0.44,0.00044,0.102,4.99,0.00499,15.81,103.8,Andaman and Nicobar Islands,South Andaman,True,True,True,False
IWQ-00057,CRITICAL_CHEMICAL_TOXIN,CRITICAL_CHEMICAL_TOXIN,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,True,True,False,CRITICAL,Nitrate,7.72,0.09,186.0,85.7,38.9,0.079,0.3,0.0003,0.157,0.4,0.0004,83.53,0.0,Andaman and Nicobar Islands,Nicobar,True,True,True,False
IWQ-00058,UNSAFE_BIOLOGICAL_PATHOGEN,UNSAFE_BIOLOGICAL_PATHOGEN,BOIL_OR_CHLORINATE_REQUIRED,BOIL_OR_CHLORINATE_REQUIRED,False,False,False,CRITICAL,E. coli / Thermotolerant Coliform Indicator,7.37,3.34,653.3,224.7,74.3,0.294,0.21,0.00021,0.271,0.86,0.00086,2.73,648.3,Andaman and Nicobar Islands,South Andaman,True,True,True,False
IWQ-00059,UNSAFE_BIOLOGICAL_PATHOGEN,UNSAFE_BIOLOGICAL_PATHOGEN,BOIL_OR_CHLORINATE_REQUIRED,BOIL_OR_CHLORINATE_REQUIRED,False,False,False,CRITICAL,E. coli / Thermotolerant Coliform Indicator,7.89,18.31,586.5,184.2,165.9,0.722,0.59,0.00059,0.219,1.46,0.00146,40.1,2791.2,Andaman and Nicobar Islands,North and Middle Andaman,True,True,True,False
IWQ-00060,POTABLE_SAFE,POTABLE_SAFE,SAFE_TO_DRINK,SAFE_TO_DRINK,False,False,True,SAFE,,7.37,3.48,237.6,139.2,27.3,0.151,1.38,0.00138,0.274,2.93,0.00293,9.29,0.0,Andaman and Nicobar Islands,North and Middle Andaman,True,True,True,False
IWQ-00061,POTABLE_SAFE,POTABLE_SAFE,SAFE_TO_DRINK,SAFE_TO_DRINK,False,False,True,SAFE,,7.59,0.69,259.5,162.5,46.5,0.948,0.69,0.00069,0.237,2.81,0.00281,4.07,0.0,Andaman and Nicobar Islands,North and Middle Andaman,True,True,True,False
IWQ-00062,POTABLE_SAFE,POTABLE_SAFE,SAFE_TO_DRINK,SAFE_TO_DRINK,False,False,True,SAFE,,7.31,0.28,216.8,114.2,51.9,0.086,0.53,0.00053,0.07,0.99,0.00099,22.09,0.0,Andaman and Nicobar Islands,North and Middle Andaman,True,True,True,False
IWQ-00063,POTABLE_SAFE,POTABLE_SAFE,SAFE_TO_DRINK,SAFE_TO_DRINK,False,False,True,SAFE,,7.71,0.48,147.9,95.1,33.7,0.129,0.07,7e-05,0.042,0.58,0.00058,15.98,0.0,Andaman and Nicobar Islands,South Andaman,True,True,True,False
IWQ-00064,UNSAFE_BIOLOGICAL_PATHOGEN,UNSAFE_BIOLOGICAL_PATHOGEN,BOIL_OR_CHLORINATE_REQUIRED,BOIL_OR_CHLORINATE_REQUIRED,False,False,False,CRITICAL,E. coli / Thermotolerant Coliform Indicator,6.94,28.47,94.0,19.2,23.9,0.404,0.09,9e-05,0.037,3.18,0.00318,7.5,3384.4,Andaman and Nicobar Islands,Nicobar,True,True,True,False
IWQ-00065,MODERATE_PHYSICAL_PARAM,MODERATE_PHYSICAL_PARAM,FILTRATION_TREATMENT_RECOMMENDED,FILTRATION_TREATMENT_RECOMMENDED,False,False,False,MODERATE,Turbidity,7.39,6.9,148.9,59.5,17.3,0.605,0.13,0.00013,0.312,0.36,0.00036,26.06,0.0,Andaman and Nicobar Islands,South Andaman,True,True,True,False
IWQ-00066,POTABLE_SAFE,POTABLE_SAFE,SAFE_TO_DRINK,SAFE_TO_DRINK,False,False,True,SAFE,,7.25,3.38,309.6,160.0,57.1,0.333,0.08,8e-05,0.472,1.52,0.00152,5.46,0.0,Andaman and Nicobar Islands,South Andaman,True,True,True,False
IWQ-00067,MODERATE_PHYSICAL_PARAM,MODERATE_PHYSICAL_PARAM,FILTRATION_TREATMENT_RECOMMENDED,FILTRATION_TREATMENT_RECOMMENDED,False,False,False,MODERATE,Turbidity,7.21,7.65,161.8,36.3,34.0,0.083,0.22,0.00022,0.036,2.21,0.00221,7.73,0.0,Andaman and Nicobar Islands,North and Middle Andaman,True,True,True,False
IWQ-00068,POTABLE_SAFE,POTABLE_SAFE,SAFE_TO_DRINK,SAFE_TO_DRINK,False,False,True,SAFE,,7.72,2.9,146.0,68.5,26.8,0.264,0.15,0.00015,0.11,1.05,0.00105,18.57,0.0,Andaman and Nicobar Islands,South Andaman,True,True,True,False
IWQ-00069,POTABLE_SAFE,POTABLE_SAFE,SAFE_TO_DRINK,SAFE_TO_DRINK,False,False,True,SAFE,,7.43,2.55,942.5,438.1,211.0,0.423,0.28,0.00028,0.95,1.72,0.00172,15.56,0.0,Andaman and Nicobar Islands,Nicobar,True,True,True,False
IWQ-00070,UNSAFE_BIOLOGICAL_PATHOGEN,UNSAFE_BIOLOGICAL_PATHOGEN,BOIL_OR_CHLORINATE_REQUIRED,BOIL_OR_CHLORINATE_REQUIRED,False,False,False,CRITICAL,E. coli / Thermotolerant Coliform Indicator,7.61,7.83,401.7,242.2,79.8,0.054,0.16,0.00016,0.277,1.01,0.00101,3.28,644.6,Andaman and Nicobar Islands,South Andaman,True,True,True,False
IWQ-00071,POTABLE_SAFE,POTABLE_SAFE,SAFE_TO_DRINK,SAFE_TO_DRINK,False,False,True,SAFE,,7.27,0.91,127.2,36.4,28.4,0.124,0.23,0.00023,0.105,1.71,0.00171,35.54,0.0,Andaman and Nicobar Islands,South Andaman,True,True,True,False
IWQ-00072,POTABLE_SAFE,POTABLE_SAFE,SAFE_TO_DRINK,SAFE_TO_DRINK,False,False,True,SAFE,,7.71,4.31,383.0,133.6,86.6,0.105,1.88,0.00188,0.056,0.15,0.00015,13.15,0.0,Andaman and Nicobar Islands,North and Middle Andaman,True,True,True,False
