record_id,state_ut,state_code,district,city_or_town,source_type,source_subtype,season,sample_date,pH,tds_mg_L,turbidity_NTU,total_hardness_mg_L,chloride_mg_L,nitrate_mg_L,fluoride_mg_L,arsenic_ug_L,uranium_ug_L,iron_mg_L,fecal_coliform_MPN_100mL,arsenic_mg_L,uranium_mg_L,has_chemical_hazard,has_biological_hazard,has_physical_issue,do_not_boil,boil_recommended,breach_details,alert_category,action_code,display_color,is_potable
IWQ-00289,Andaman and Nicobar Islands,AN,Nicobar,Car Nicobar,Piped tap water,Municipal tap,Pre-monsoon,2024-05-18,7.61,1592.0,0.79,1088.9,156.6,12.81,0.363,0.13,0.89,0.049,0.0,0.00013,0.00089,False,False,True,False,False,,MODERATE_PHYSICAL_PARAM,FILTRATION_TREATMENT_RECOMMENDED,yellow,False
IWQ-00319,Andaman and Nicobar Islands,AN,Nicobar,Car Nicobar,Groundwater,Bore well,Post-monsoon,2024-10-14,6.78,46.8,3.46,16.5,14.3,10.99,0.263,0.76,0.85,1.185,0.0,0.00076,0.00085,True,False,False,True,False,,CRITICAL_CHEMICAL_TOXIN,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,red,False
IWQ-00357,Andhra Pradesh,AP,YSR Kadapa,Kadapa,Surface water,Pond/Lake,Pre-monsoon,2024-05-23,7.51,241.8,22.6,96.2,34.7,24.5,0.178,0.88,1.6,1.031,15390.3,0.00088,0.0016,True,True,True,True,False,Coliform: 15390 MPN (Max: 0); Turbidity: 22.6 NTU (Max: 5.0),CRITICAL_MIXED_HAZARD,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,red,False
IWQ-00382,Andhra Pradesh,AP,Guntur,Guntur,Piped tap water,Municipal tap,Post-monsoon,2024-10-06,8.35,1365.8,0.15,762.7,344.3,44.73,0.852,0.14,2.41,0.366,0.0,0.00014,0.00241,False,False,True,False,False,,MODERATE_PHYSICAL_PARAM,FILTRATION_TREATMENT_RECOMMENDED,yellow,False
IWQ-00389,Andhra Pradesh,AP,Srikakulam,Srikakulam,Piped tap water,Municipal tap,Pre-monsoon,2024-06-19,7.45,1111.1,0.8,666.5,196.8,4.69,0.154,0.1,2.68,0.133,0.0,0.0001,0.00268,False,False,True,False,False,,MODERATE_PHYSICAL_PARAM,FILTRATION_TREATMENT_RECOMMENDED,yellow,False
IWQ-00412,Andhra Pradesh,AP,Anantapur,Anantapur,Piped tap water,Municipal tap,Pre-monsoon,2024-05-06,6.79,1268.5,4.8,779.8,207.1,5.56,1.564,0.09,7.67,0.03,0.0,9e-05,0.00767,True,False,True,True,False,Fluoride: 1.564 mg/L (Max: 1.5),CRITICAL_CHEMICAL_TOXIN,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,red,False
IWQ-00418,Andhra Pradesh,AP,Guntur,Amaravati,Piped tap water,Rural tap (JJM),Pre-monsoon,2024-04-15,7.2,444.6,0.16,158.7,149.4,14.36,0.396,0.81,9.47,1.09,0.0,0.00081,0.00947,True,False,False,True,False,,CRITICAL_CHEMICAL_TOXIN,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,red,False
IWQ-00432,Andhra Pradesh,AP,Chittoor,Chittoor,Groundwater,Hand pump,Pre-monsoon,2024-06-12,6.99,1767.1,1.09,724.9,396.6,29.47,0.486,0.12,4.2,0.242,0.0,0.00012,0.0042,False,False,True,False,False,,MODERATE_PHYSICAL_PARAM,FILTRATION_TREATMENT_RECOMMENDED,yellow,False
IWQ-00452,Andhra Pradesh,AP,East Godavari,Rajahmundry,Groundwater,Dug well,Post-monsoon,2024-10-09,7.63,1519.4,4.95,656.9,319.1,13.77,0.275,0.51,3.99,0.133,0.0,0.00051,0.00399,False,False,True,False,False,,MODERATE_PHYSICAL_PARAM,FILTRATION_TREATMENT_RECOMMENDED,yellow,False
IWQ-00463,Andhra Pradesh,AP,Palnadu,Narasaraopet,Groundwater,Bore well,Pre-monsoon,2024-06-09,7.32,1742.4,1.16,681.9,237.7,61.42,0.131,0.42,126.81,0.379,0.0,0.00042,0.12681,True,False,True,True,False,Nitrate: 61.42 mg/L (Max: 45); Uranium: 126.81 ug/L (Max: 30),CRITICAL_CHEMICAL_TOXIN,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,red,False
IWQ-00464,Andhra Pradesh,AP,Tirupati,Tirupati,Groundwater,Bore well,Post-monsoon,2024-10-23,6.54,1953.9,2.15,893.6,645.5,2.24,0.491,0.28,3.48,0.036,0.0,0.00028,0.00348,False,False,True,False,False,,MODERATE_PHYSICAL_PARAM,FILTRATION_TREATMENT_RECOMMENDED,yellow,False
IWQ-00483,Andhra Pradesh,AP,Krishna,Machilipatnam,Groundwater,Bore well,Post-monsoon,2024-11-28,8.28,509.8,3.46,630.6,92.7,136.32,0.343,6.81,2.89,0.538,0.0,0.00681,0.00289,True,False,True,True,False,Nitrate: 136.32 mg/L (Max: 45),CRITICAL_CHEMICAL_TOXIN,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,red,False
IWQ-00485,Andhra Pradesh,AP,Vizianagaram,Vizianagaram,Groundwater,Hand pump,Pre-monsoon,2024-04-03,6.69,937.7,2.07,688.4,243.3,33.32,0.674,0.1,4.28,0.239,0.0,0.0001,0.00428,False,False,True,False,False,,MODERATE_PHYSICAL_PARAM,FILTRATION_TREATMENT_RECOMMENDED,yellow,False
IWQ-00490,Andhra Pradesh,AP,Guntur,Amaravati,Groundwater,Bore well,Pre-monsoon,2024-05-09,7.76,296.6,0.42,113.3,73.2,8.42,1.103,0.62,0.6,1.166,0.0,0.00062,0.0006,True,False,False,True,False,,CRITICAL_CHEMICAL_TOXIN,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,red,False
IWQ-00583,Andhra Pradesh,AP,Kakinada,Kakinada,Groundwater,Hand pump,Pre-monsoon,2024-06-25,7.73,900.9,2.47,754.5,97.2,16.1,1.285,0.24,1.46,1.072,0.0,0.00024,0.00146,True,False,True,True,False,,CRITICAL_CHEMICAL_TOXIN,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,red,False
IWQ-00600,Andhra Pradesh,AP,Srikakulam,Srikakulam,Groundwater,Hand pump,Post-monsoon,2024-11-12,7.21,1689.7,4.38,1307.7,287.1,50.67,0.301,0.39,0.84,0.029,0.0,0.00039,0.00084,True,False,True,True,False,Nitrate: 50.67 mg/L (Max: 45),CRITICAL_CHEMICAL_TOXIN,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,red,False
IWQ-00655,Andhra Pradesh,AP,YSR Kadapa,Kadapa,Groundwater,Hand pump,Post-monsoon,2024-10-17,7.69,1255.6,4.02,710.7,161.1,7.06,0.939,0.07,6.24,0.237,0.0,7e-05,0.00624,False,False,True,False,False,,MODERATE_PHYSICAL_PARAM,FILTRATION_TREATMENT_RECOMMENDED,yellow,False
IWQ-00670,Andhra Pradesh,AP,Anantapur,Anantapur,Groundwater,Bore well,Post-monsoon,2024-11-05,6.66,1552.4,0.5,975.7,240.7,12.63,2.671,0.02,1.31,0.306,0.0,2e-05,0.00131,True,False,True,True,False,Fluoride: 2.671 mg/L (Max: 1.5),CRITICAL_CHEMICAL_TOXIN,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,red,False
IWQ-00700,Andhra Pradesh,AP,Nellore,Nellore,Piped tap water,Municipal tap,Post-monsoon,2024-11-23,7.89,1737.7,0.21,1183.9,302.5,6.09,0.436,0.11,1.64,0.038,0.0,0.00011,0.00164,False,False,True,False,False,,MODERATE_PHYSICAL_PARAM,FILTRATION_TREATMENT_RECOMMENDED,yellow,False
IWQ-00718,Andhra Pradesh,AP,Kakinada,Kakinada,Groundwater,Dug well,Pre-monsoon,2024-05-04,7.35,1880.4,2.7,1315.6,227.5,93.96,1.272,1.15,0.7,0.015,0.0,0.00115,0.0007,True,False,True,True,False,Nitrate: 93.96 mg/L (Max: 45),CRITICAL_CHEMICAL_TOXIN,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,red,False
IWQ-00730,Andhra Pradesh,AP,Kurnool,Kurnool,Groundwater,Dug well,Post-monsoon,2024-10-27,7.76,1581.3,4.43,807.1,265.1,15.31,2.511,0.03,5.66,0.504,0.0,3e-05,0.00566,True,False,True,True,False,Fluoride: 2.511 mg/L (Max: 1.5),CRITICAL_CHEMICAL_TOXIN,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,red,False
IWQ-00732,Andhra Pradesh,AP,Anantapur,Anantapur,Groundwater,Bore well,Post-monsoon,2024-11-01,7.11,1819.8,2.96,595.6,375.2,13.54,0.32,0.23,0.97,1.128,0.0,0.00023,0.00097,True,False,False,True,False,,CRITICAL_CHEMICAL_TOXIN,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,red,False
IWQ-00734,Andhra Pradesh,AP,Prakasam,Ongole,Groundwater,Bore well,Post-monsoon,2024-11-13,7.38,1363.5,3.75,659.8,232.6,16.57,1.698,0.09,0.35,0.244,0.0,9e-05,0.00035,True,False,True,True,False,Fluoride: 1.698 mg/L (Max: 1.5),CRITICAL_CHEMICAL_TOXIN,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,red,False
IWQ-00740,Andhra Pradesh,AP,Guntur,Amaravati,Groundwater,Hand pump,Pre-monsoon,2024-04-01,7.46,1130.6,0.79,613.9,368.9,18.34,0.244,0.77,9.11,0.573,0.0,0.00077,0.00911,False,False,True,False,False,,MODERATE_PHYSICAL_PARAM,FILTRATION_TREATMENT_RECOMMENDED,yellow,False
IWQ-00762,Andhra Pradesh,AP,Bapatla,Bapatla,Groundwater,Dug well,Pre-monsoon,2024-05-16,7.24,1505.5,1.03,815.0,194.6,12.99,0.95,0.74,10.43,0.208,8.9,0.00074,0.01043,False,True,True,False,True,Coliform: 8 MPN (Max: 0),UNSAFE_BIOLOGICAL_PATHOGEN,BOIL_OR_CHLORINATE_REQUIRED,orange,False
IWQ-00795,Andhra Pradesh,AP,Anantapur,Anantapur,Groundwater,Dug well,Pre-monsoon,2024-04-20,7.54,1574.6,3.31,927.2,497.3,7.86,7.353,1.18,3.82,0.098,0.0,0.00118,0.00382,True,False,True,True,False,Fluoride: 7.353 mg/L (Max: 1.5),CRITICAL_CHEMICAL_TOXIN,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,red,False
IWQ-00818,Andhra Pradesh,AP,Prakasam,Ongole,Groundwater,Bore well,Post-monsoon,2024-11-15,7.77,1591.6,0.47,638.3,347.2,43.37,0.347,1.46,5.92,0.053,0.0,0.00146,0.00592,False,False,True,False,False,,MODERATE_PHYSICAL_PARAM,FILTRATION_TREATMENT_RECOMMENDED,yellow,False
IWQ-00828,Andhra Pradesh,AP,Tirupati,Tirupati,Groundwater,Bore well,Pre-monsoon,2024-06-12,8.32,1795.4,2.29,1102.9,355.6,38.33,0.417,0.16,0.95,0.987,11.3,0.00016,0.00095,False,True,True,False,True,Coliform: 11 MPN (Max: 0),UNSAFE_BIOLOGICAL_PATHOGEN,BOIL_OR_CHLORINATE_REQUIRED,orange,False
IWQ-00829,Andhra Pradesh,AP,Kurnool,Kurnool,Groundwater,Hand pump,Pre-monsoon,2024-06-01,6.83,1130.6,0.7,446.2,131.1,15.31,0.391,0.72,0.11,2.051,0.0,0.00072,0.00011,True,False,False,True,False,,CRITICAL_CHEMICAL_TOXIN,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,red,False
IWQ-00831,Andhra Pradesh,AP,Visakhapatnam,Visakhapatnam,Groundwater,Hand pump,Pre-monsoon,2024-04-22,6.88,263.1,7.82,132.6,41.3,5.91,0.939,0.53,3.29,1.93,0.0,0.00053,0.00329,True,False,True,True,False,Turbidity: 7.82 NTU (Max: 5.0),CRITICAL_CHEMICAL_TOXIN,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,red,False
IWQ-00834,Andhra Pradesh,AP,Krishna,Vijayawada,Groundwater,Hand pump,Pre-monsoon,2024-05-16,8.01,1948.8,2.03,872.2,352.5,33.92,0.915,0.34,3.42,0.421,0.0,0.00034,0.00342,False,False,True,False,False,,MODERATE_PHYSICAL_PARAM,FILTRATION_TREATMENT_RECOMMENDED,yellow,False
IWQ-00882,Andhra Pradesh,AP,Prakasam,Ongole,Groundwater,Hand pump,Pre-monsoon,2024-05-16,7.56,1458.4,1.36,657.3,306.6,24.85,5.192,0.11,0.99,0.443,0.0,0.00011,0.00099,True,False,True,True,False,Fluoride: 5.192 mg/L (Max: 1.5),CRITICAL_CHEMICAL_TOXIN,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,red,False
IWQ-00886,Andhra Pradesh,AP,Guntur,Guntur,Groundwater,Hand pump,Post-monsoon,2024-10-16,7.13,851.2,0.59,733.4,186.5,16.66,0.233,1.62,8.6,0.096,0.0,0.00162,0.0086,False,False,True,False,False,,MODERATE_PHYSICAL_PARAM,FILTRATION_TREATMENT_RECOMMENDED,yellow,False
IWQ-00894,Andhra Pradesh,AP,Prakasam,Ongole,Groundwater,Dug well,Post-monsoon,2024-11-26,7.45,364.1,6.04,164.5,61.9,21.67,0.45,1.06,2.95,1.448,0.0,0.00106,0.00295,True,False,True,True,False,Turbidity: 6.04 NTU (Max: 5.0),CRITICAL_CHEMICAL_TOXIN,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,red,False
IWQ-00913,Andhra Pradesh,AP,Guntur,Guntur,Groundwater,Dug well,Pre-monsoon,2024-06-19,7.07,1913.8,11.02,716.7,280.2,17.84,0.59,0.88,0.58,1.293,0.0,0.00088,0.00058,True,False,True,True,False,Turbidity: 11.02 NTU (Max: 5.0),CRITICAL_CHEMICAL_TOXIN,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,red,False
IWQ-00966,Andhra Pradesh,AP,Guntur,Amaravati,Groundwater,Hand pump,Pre-monsoon,2024-05-19,8.07,454.3,2.1,155.1,72.8,21.89,0.361,0.86,5.56,1.224,0.0,0.00086,0.00556,True,False,False,True,False,,CRITICAL_CHEMICAL_TOXIN,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,red,False
IWQ-00991,Andhra Pradesh,AP,Krishna,Vijayawada,Groundwater,Dug well,Post-monsoon,2024-10-02,8.09,384.3,7.06,182.5,46.1,14.25,0.746,0.37,14.4,1.54,0.0,0.00037,0.0144,True,False,True,True,False,Turbidity: 7.06 NTU (Max: 5.0),CRITICAL_CHEMICAL_TOXIN,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,red,False
IWQ-00994,Andhra Pradesh,AP,Guntur,Amaravati,Groundwater,Hand pump,Post-monsoon,2024-11-10,7.59,1392.3,2.18,626.1,325.4,108.23,0.343,0.28,2.96,0.166,7.5,0.00028,0.00296,True,True,True,True,False,Nitrate: 108.23 mg/L (Max: 45); Coliform: 7 MPN (Max: 0),CRITICAL_MIXED_HAZARD,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,red,False
IWQ-00997,Andhra Pradesh,AP,Bapatla,Bapatla,Groundwater,Dug well,Pre-monsoon,2024-06-16,7.0,1500.8,0.43,604.1,288.6,14.37,0.639,4.39,6.16,0.084,0.0,0.00439,0.00616,False,False,True,False,False,,MODERATE_PHYSICAL_PARAM,FILTRATION_TREATMENT_RECOMMENDED,yellow,False
IWQ-00999,Andhra Pradesh,AP,Vizianagaram,Vizianagaram,Groundwater,Bore well,Post-monsoon,2024-10-07,6.8,306.9,9.37,209.4,49.9,23.14,0.841,0.17,1.03,3.93,0.0,0.00017,0.00103,True,False,True,True,False,Turbidity: 9.37 NTU (Max: 5.0),CRITICAL_CHEMICAL_TOXIN,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,red,False
IWQ-01008,Andhra Pradesh,AP,Chittoor,Chittoor,Groundwater,Dug well,Post-monsoon,2024-11-14,7.44,692.7,2.59,295.0,116.5,25.96,0.532,0.08,14.22,1.02,0.0,8e-05,0.01422,True,False,False,True,False,,CRITICAL_CHEMICAL_TOXIN,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,red,False
IWQ-01012,Andhra Pradesh,AP,Guntur,Guntur,Groundwater,Bore well,Pre-monsoon,2024-06-08,7.54,896.1,2.25,685.2,186.6,6.79,0.791,1.11,1.24,0.413,0.0,0.00111,0.00124,False,False,True,False,False,,MODERATE_PHYSICAL_PARAM,FILTRATION_TREATMENT_RECOMMENDED,yellow,False
IWQ-01013,Andhra Pradesh,AP,Palnadu,Narasaraopet,Groundwater,Bore well,Pre-monsoon,2024-04-26,7.65,614.6,2.1,382.7,121.2,22.05,0.512,0.14,1.12,1.509,0.0,0.00014,0.00112,True,False,False,True,False,,CRITICAL_CHEMICAL_TOXIN,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,red,False
IWQ-01025,Andhra Pradesh,AP,Guntur,Guntur,Piped tap water,Municipal tap,Pre-monsoon,2024-06-03,7.63,1385.6,1.96,756.5,304.4,32.96,0.828,0.01,4.09,0.357,0.0,1e-05,0.00409,False,False,True,False,False,,MODERATE_PHYSICAL_PARAM,FILTRATION_TREATMENT_RECOMMENDED,yellow,False
IWQ-01040,Andhra Pradesh,AP,West Godavari,Eluru,Piped tap water,Rural tap (JJM),Pre-monsoon,2024-05-08,7.44,1982.8,0.85,825.0,187.3,47.12,0.524,1.04,6.49,0.249,0.0,0.00104,0.00649,True,False,True,True,False,Nitrate: 47.12 mg/L (Max: 45),CRITICAL_CHEMICAL_TOXIN,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,red,False
IWQ-01067,Andhra Pradesh,AP,Guntur,Guntur,Piped tap water,Municipal tap,Pre-monsoon,2024-05-16,7.33,1975.8,0.4,825.2,392.1,6.2,0.332,20.1,6.5,0.118,0.0,0.0201,0.0065,True,False,True,True,False,Arsenic: 20.1 ug/L (Max: 10),CRITICAL_CHEMICAL_TOXIN,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,red,False
IWQ-01069,Andhra Pradesh,AP,Kakinada,Kakinada,Groundwater,Bore well,Pre-monsoon,2024-04-22,7.07,1419.3,3.66,623.8,135.1,3.1,0.38,0.81,10.2,0.739,0.0,0.00081,0.0102,False,False,True,False,False,,MODERATE_PHYSICAL_PARAM,FILTRATION_TREATMENT_RECOMMENDED,yellow,False
IWQ-01078,Andhra Pradesh,AP,YSR Kadapa,Kadapa,Piped tap water,Rural tap (JJM),Pre-monsoon,2024-05-28,7.7,441.0,0.62,221.3,83.5,7.25,0.108,0.47,27.11,1.275,0.0,0.00047,0.02711,True,False,False,True,False,,CRITICAL_CHEMICAL_TOXIN,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,red,False
IWQ-01096,Andhra Pradesh,AP,Guntur,Guntur,Groundwater,Bore well,Pre-monsoon,2024-04-07,7.8,1311.8,4.82,758.2,252.9,4.66,0.218,0.21,2.55,0.365,0.0,0.00021,0.00255,False,False,True,False,False,,MODERATE_PHYSICAL_PARAM,FILTRATION_TREATMENT_RECOMMENDED,yellow,False
IWQ-01136,Andhra Pradesh,AP,Bapatla,Bapatla,Piped tap water,Rural tap (JJM),Pre-monsoon,2024-04-28,7.39,1907.8,1.87,822.3,278.8,7.91,2.288,0.26,3.58,0.011,0.0,0.00026,0.00358,True,False,True,True,False,Fluoride: 2.288 mg/L (Max: 1.5),CRITICAL_CHEMICAL_TOXIN,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,red,False
IWQ-01138,Andhra Pradesh,AP,YSR Kadapa,Kadapa,Groundwater,Bore well,Pre-monsoon,2024-04-04,6.85,1349.1,4.0,1005.9,169.2,7.32,0.26,4.57,4.53,0.219,0.0,0.00457,0.00453,False,False,True,False,False,,MODERATE_PHYSICAL_PARAM,FILTRATION_TREATMENT_RECOMMENDED,yellow,False
IWQ-01153,Andhra Pradesh,AP,Kurnool,Kurnool,Piped tap water,Municipal tap,Post-monsoon,2024-11-08,7.36,1738.1,1.0,696.9,271.7,24.93,1.281,0.51,1.36,0.059,20.1,0.00051,0.00136,False,True,True,False,True,Coliform: 20 MPN (Max: 0),UNSAFE_BIOLOGICAL_PATHOGEN,BOIL_OR_CHLORINATE_REQUIRED,orange,False
IWQ-01159,Andhra Pradesh,AP,Guntur,Amaravati,Groundwater,Hand pump,Pre-monsoon,2024-05-14,7.38,379.6,5.27,162.0,55.1,25.88,0.632,1.08,1.55,2.488,0.0,0.00108,0.00155,True,False,True,True,False,Turbidity: 5.27 NTU (Max: 5.0),CRITICAL_CHEMICAL_TOXIN,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,red,False
IWQ-01160,Andhra Pradesh,AP,Bapatla,Bapatla,Groundwater,Dug well,Pre-monsoon,2024-06-23,7.96,1761.8,3.2,932.7,256.7,10.4,0.313,0.14,2.08,0.079,0.0,0.00014,0.00208,False,False,True,False,False,,MODERATE_PHYSICAL_PARAM,FILTRATION_TREATMENT_RECOMMENDED,yellow,False
IWQ-01169,Andhra Pradesh,AP,East Godavari,Rajahmundry,Groundwater,Bore well,Post-monsoon,2024-10-27,7.9,1007.2,1.24,693.6,240.5,7.59,0.4,0.59,9.42,0.073,0.0,0.00059,0.00942,False,False,True,False,False,,MODERATE_PHYSICAL_PARAM,FILTRATION_TREATMENT_RECOMMENDED,yellow,False
IWQ-01173,Andhra Pradesh,AP,Prakasam,Ongole,Groundwater,Hand pump,Post-monsoon,2024-10-06,7.15,1234.5,1.42,872.0,194.6,36.85,1.684,0.34,3.88,0.516,0.0,0.00034,0.00388,True,False,True,True,False,Fluoride: 1.684 mg/L (Max: 1.5),CRITICAL_CHEMICAL_TOXIN,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,red,False
IWQ-01181,Andhra Pradesh,AP,Guntur,Amaravati,Groundwater,Dug well,Post-monsoon,2024-10-17,7.26,1324.9,4.07,663.6,312.6,17.92,0.19,0.35,0.8,0.112,0.0,0.00035,0.0008,False,False,True,False,False,,MODERATE_PHYSICAL_PARAM,FILTRATION_TREATMENT_RECOMMENDED,yellow,False
IWQ-01199,Andhra Pradesh,AP,Visakhapatnam,Visakhapatnam,Groundwater,Hand pump,Pre-monsoon,2024-04-05,6.66,1110.0,0.89,817.8,186.7,9.86,0.1,0.62,0.68,0.034,0.0,0.00062,0.00068,False,False,True,False,False,,MODERATE_PHYSICAL_PARAM,FILTRATION_TREATMENT_RECOMMENDED,yellow,False
IWQ-01203,Andhra Pradesh,AP,Kurnool,Kurnool,Groundwater,Bore well,Post-monsoon,2024-11-11,7.32,1248.2,3.69,616.8,185.1,19.14,0.838,0.04,13.98,0.143,0.0,4e-05,0.01398,False,False,True,False,False,,MODERATE_PHYSICAL_PARAM,FILTRATION_TREATMENT_RECOMMENDED,yellow,False
IWQ-01229,Andhra Pradesh,AP,Prakasam,Ongole,Groundwater,Bore well,Pre-monsoon,2024-04-26,7.36,1056.7,2.42,790.4,164.2,4.97,1.075,0.62,1.68,0.244,0.0,0.00062,0.00168,False,False,True,False,False,,MODERATE_PHYSICAL_PARAM,FILTRATION_TREATMENT_RECOMMENDED,yellow,False
