record_id,csv_category,engine_category,csv_action,engine_action,csv_do_not_boil,engine_do_not_boil,chemical_flag_csv,biological_flag_csv,fluoride,arsenic_ug,arsenic_mg,nitrate,fecal_coliform,turbidity,tds,ph,state,district
IWQ-00758,POTABLE_SAFE,CRITICAL_CHEMICAL_TOXIN,SAFE_TO_DRINK,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,False,True,False,False,1.142,0.1,0.0001,19.46,0.0,3.2,362.2,7.27,Andhra Pradesh,Bapatla
IWQ-00788,POTABLE_SAFE,CRITICAL_CHEMICAL_TOXIN,SAFE_TO_DRINK,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,False,True,False,False,1.342,0.46,0.00046,4.24,0.0,3.25,623.7,7.13,Andhra Pradesh,Srikakulam
IWQ-00791,POTABLE_SAFE,CRITICAL_CHEMICAL_TOXIN,SAFE_TO_DRINK,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,False,True,False,False,1.057,0.71,0.00071,9.55,0.0,3.83,504.0,7.0,Andhra Pradesh,Bapatla
IWQ-00792,CRITICAL_CHEMICAL_TOXIN,MODERATE_PHYSICAL_PARAM,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,FILTER_AND_RETEST,True,False,True,False,0.555,0.17,0.00017,38.53,0.0,3.56,564.4,7.81,Andhra Pradesh,Guntur
IWQ-00798,POTABLE_SAFE,CRITICAL_CHEMICAL_TOXIN,SAFE_TO_DRINK,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,False,True,False,False,1.031,0.17,0.00017,43.27,0.0,3.49,705.8,7.24,Andhra Pradesh,Anantapur
IWQ-00808,MODERATE_PHYSICAL_PARAM,CRITICAL_CHEMICAL_TOXIN,FILTRATION_TREATMENT_RECOMMENDED,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,False,True,False,False,1.466,0.68,0.00068,39.54,0.0,9.12,450.1,7.23,Andhra Pradesh,Visakhapatnam
IWQ-00817,POTABLE_SAFE,CRITICAL_CHEMICAL_TOXIN,SAFE_TO_DRINK,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,False,True,False,False,1.021,0.11,0.00011,3.48,0.0,1.21,646.3,7.93,Andhra Pradesh,Guntur
IWQ-00829,CRITICAL_CHEMICAL_TOXIN,MODERATE_PHYSICAL_PARAM,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,FILTER_AND_RETEST,True,False,True,False,0.391,0.72,0.00072,15.31,0.0,0.7,1130.6,6.83,Andhra Pradesh,Kurnool
IWQ-00831,CRITICAL_CHEMICAL_TOXIN,MODERATE_PHYSICAL_PARAM,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,FILTER_AND_RETEST,True,False,True,False,0.939,0.53,0.00053,5.91,0.0,7.82,263.1,6.88,Andhra Pradesh,Visakhapatnam
IWQ-00843,POTABLE_SAFE,CRITICAL_CHEMICAL_TOXIN,SAFE_TO_DRINK,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,False,True,False,False,1.074,0.15,0.00015,31.42,0.0,0.98,374.6,8.2,Andhra Pradesh,Guntur
IWQ-00849,POTABLE_SAFE,CRITICAL_CHEMICAL_TOXIN,SAFE_TO_DRINK,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,False,True,False,False,1.256,2.81,0.00281,11.4,0.0,0.42,398.5,7.38,Andhra Pradesh,Visakhapatnam
IWQ-00860,POTABLE_SAFE,CRITICAL_CHEMICAL_TOXIN,SAFE_TO_DRINK,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,False,True,False,False,1.092,0.42,0.00042,18.76,0.0,1.24,812.4,8.24,Andhra Pradesh,Kurnool
IWQ-00862,POTABLE_SAFE,CRITICAL_CHEMICAL_TOXIN,SAFE_TO_DRINK,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,False,True,False,False,1.412,0.19,0.00019,32.01,0.0,0.43,418.1,7.62,Andhra Pradesh,Palnadu
IWQ-00884,CRITICAL_CHEMICAL_TOXIN,MODERATE_PHYSICAL_PARAM,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,FILTER_AND_RETEST,True,False,True,False,0.177,1.57,0.00157,8.94,0.0,3.48,465.6,7.64,Andhra Pradesh,Krishna
IWQ-00888,POTABLE_SAFE,CRITICAL_CHEMICAL_TOXIN,SAFE_TO_DRINK,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,False,True,False,False,1.35,0.02,2e-05,12.17,0.0,4.13,499.2,6.52,Andhra Pradesh,YSR Kadapa
IWQ-00892,MODERATE_PHYSICAL_PARAM,CRITICAL_CHEMICAL_TOXIN,FILTRATION_TREATMENT_RECOMMENDED,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,False,True,False,False,1.067,0.01,1e-05,13.61,0.0,39.99,519.3,7.75,Andhra Pradesh,Visakhapatnam
IWQ-00894,CRITICAL_CHEMICAL_TOXIN,MODERATE_PHYSICAL_PARAM,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,FILTER_AND_RETEST,True,False,True,False,0.45,1.06,0.00106,21.67,0.0,6.04,364.1,7.45,Andhra Pradesh,Prakasam
IWQ-00898,POTABLE_SAFE,CRITICAL_CHEMICAL_TOXIN,SAFE_TO_DRINK,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,False,True,False,False,1.178,0.56,0.00056,11.25,0.0,3.75,459.4,7.22,Andhra Pradesh,Chittoor
IWQ-00913,CRITICAL_CHEMICAL_TOXIN,MODERATE_PHYSICAL_PARAM,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,FILTER_AND_RETEST,True,False,True,False,0.59,0.88,0.00088,17.84,0.0,11.02,1913.8,7.07,Andhra Pradesh,Guntur
IWQ-00920,POTABLE_SAFE,CRITICAL_CHEMICAL_TOXIN,SAFE_TO_DRINK,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,False,True,False,False,1.075,0.12,0.00012,13.65,0.0,0.69,418.3,8.21,Andhra Pradesh,Guntur
IWQ-00921,POTABLE_SAFE,CRITICAL_CHEMICAL_TOXIN,SAFE_TO_DRINK,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,False,True,False,False,1.489,0.63,0.00063,17.01,0.0,0.82,563.7,8.4,Andhra Pradesh,Chittoor
IWQ-00929,MODERATE_PHYSICAL_PARAM,CRITICAL_CHEMICAL_TOXIN,FILTRATION_TREATMENT_RECOMMENDED,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,False,True,False,False,1.451,0.29,0.00029,14.87,0.0,11.51,361.3,8.14,Andhra Pradesh,Krishna
IWQ-00943,POTABLE_SAFE,CRITICAL_CHEMICAL_TOXIN,SAFE_TO_DRINK,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,False,True,False,False,1.125,0.26,0.00026,14.3,0.0,2.48,1005.2,7.62,Andhra Pradesh,Guntur
IWQ-00959,POTABLE_SAFE,CRITICAL_CHEMICAL_TOXIN,SAFE_TO_DRINK,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,False,True,False,False,1.444,5.14,0.00514,27.21,0.0,2.71,879.2,7.25,Andhra Pradesh,Guntur
IWQ-00962,MODERATE_PHYSICAL_PARAM,CRITICAL_CHEMICAL_TOXIN,FILTRATION_TREATMENT_RECOMMENDED,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,False,True,False,False,1.041,0.21,0.00021,15.86,0.0,10.18,818.4,7.66,Andhra Pradesh,Kakinada
IWQ-00965,POTABLE_SAFE,CRITICAL_CHEMICAL_TOXIN,SAFE_TO_DRINK,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,False,True,False,False,1.032,0.19,0.00019,27.52,0.0,0.86,842.7,6.85,Andhra Pradesh,Kurnool
IWQ-00966,CRITICAL_CHEMICAL_TOXIN,MODERATE_PHYSICAL_PARAM,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,FILTER_AND_RETEST,True,False,True,False,0.361,0.86,0.00086,21.89,0.0,2.1,454.3,8.07,Andhra Pradesh,Guntur
IWQ-00991,CRITICAL_CHEMICAL_TOXIN,MODERATE_PHYSICAL_PARAM,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,FILTER_AND_RETEST,True,False,True,False,0.746,0.37,0.00037,14.25,0.0,7.06,384.3,8.09,Andhra Pradesh,Krishna
IWQ-00998,MODERATE_PHYSICAL_PARAM,CRITICAL_CHEMICAL_TOXIN,FILTRATION_TREATMENT_RECOMMENDED,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,False,True,False,False,1.24,0.23,0.00023,21.21,0.0,12.98,456.9,7.47,Andhra Pradesh,Krishna
IWQ-00999,CRITICAL_CHEMICAL_TOXIN,MODERATE_PHYSICAL_PARAM,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,FILTER_AND_RETEST,True,False,True,False,0.841,0.17,0.00017,23.14,0.0,9.37,306.9,6.8,Andhra Pradesh,Vizianagaram
IWQ-01006,POTABLE_SAFE,CRITICAL_CHEMICAL_TOXIN,SAFE_TO_DRINK,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,False,True,False,False,1.236,0.14,0.00014,6.51,0.0,2.75,239.0,7.98,Andhra Pradesh,Tirupati
IWQ-01008,CRITICAL_CHEMICAL_TOXIN,MODERATE_PHYSICAL_PARAM,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,FILTER_AND_RETEST,True,False,True,False,0.532,0.08,8e-05,25.96,0.0,2.59,692.7,7.44,Andhra Pradesh,Chittoor
IWQ-01013,CRITICAL_CHEMICAL_TOXIN,MODERATE_PHYSICAL_PARAM,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,FILTER_AND_RETEST,True,False,True,False,0.512,0.14,0.00014,22.05,0.0,2.1,614.6,7.65,Andhra Pradesh,Palnadu
